product_name,sentiment,brewing_method,review_text,date,tasting_notes
Sweetheart Single Origin Espresso Rotation,liked,Espresso Machine,"the first time I have found an amazing roast that suits my palate, when. The citrus notes bring such a lovely airy and refreshing flavor, the light sweetness on the aftertaste makes my mouth water after every sip. I will be ordering as much as I can. This was a delightful bean",06/30/2025,"Berry, Chocolate"
Sweetheart Single Origin Espresso Rotation,liked,Espresso Machine,"notes definitely come through. Usually I’m terrible at finding the flavor profile of my coffee but this one was obvious from the first sip. I usually go for a bolder or darker coffee since I like making lattes, but this one worked great as a latte or as a single espresso shot.",04/16/2025,"Berry, Chocolate"
Sweetheart Single Origin Espresso Rotation,liked,Espresso Machine,,04/01/2024,"Berry, Chocolate"
Sweetheart Single Origin Espresso Rotation,disliked,"Chemex, Aeropress, Clever Dripper",Kinda fell flat for me. Good not great light roast.,11/16/2022,"Berry, Chocolate"
Sweetheart Single Origin Espresso Rotation,liked,Pour Over,"this as straight coffee over espresso. I still have mixed feelings about bright zingy espressos, but I do enjoy the berry notes as simply coffee.",07/26/2022,"Berry, Chocolate"
Sweetheart Single Origin Espresso Rotation,liked,Espresso Machine,,07/06/2022,"Berry, Chocolate"
Sweetheart Single Origin Espresso Rotation,liked,Espresso Machine,Great single origin espresso! More traditional profile as 1:2 ratio but pulling lungo brings the berry notes.,06/09/2022,"Berry, Chocolate"
Sweetheart Single Origin Espresso Rotation,liked,Espresso Machine,,05/31/2022,"Berry, Chocolate"
Sweetheart Single Origin Espresso Rotation,liked,Drip,So so good!,03/16/2022,"Berry, Chocolate"
Fremont,disliked,Espresso Machine,"packaging, great aroma, just didn’t have strong enough flavor for me. I tried adjusting the espresso settings, just not flavorful enough.",10/07/2025,"Tea, Pear, Almond"
Fremont,liked,Pour Over,Delicious. Aromas really came through. Was a little sour when the coffee got cold but that was likely my fault.,09/12/2023,"Tea, Pear, Almond"
Fremont,disliked,Espresso Machine,Something with this coffee gave me a tummy ache lol,07/27/2023,"Tea, Pear, Almond"
Fremont,liked,Pour Over,,05/23/2023,"Tea, Pear, Almond"
Fremont,liked,Drip,,05/23/2023,"Tea, Pear, Almond"
Fremont,disliked,Pour Over,,04/08/2023,"Tea, Pear, Almond"
Fremont,liked,Drip,"their flagship dark roast. Smooth and clean. The other one that every one likes here, you should get a free t shirt if you can handle the bitterness. #freefremont 😆",01/23/2023,"Tea, Pear, Almond"
Fremont,liked,Moccamaster,,12/15/2022,"Tea, Pear, Almond"
Fremont,disliked,Drip,,10/24/2022,"Tea, Pear, Almond"
Fremont,liked,Pour Over,"bag after being blown away from the quality of the Diablo beans....this roaster is creating spectacular brews for me. For this bag, I found that 18:1 was perfect for me (usually 16.5:1 is my go to). Because of Larado's unmatched quality, I will be happily exploring more of their offerings.",08/06/2022,"Tea, Pear, Almond"
Fremont,liked,French Press,Just a simple but really nice and smooth cup of coffee. One of my favorite bags I've ever received,07/28/2022,"Tea, Pear, Almond"
Fremont,disliked,Pour Over,Too dark,06/06/2022,"Tea, Pear, Almond"
Fremont,disliked,Drip,tastes burnt,05/23/2022,"Tea, Pear, Almond"
Fremont,liked,Superautomatic Espresso Machine,"Very complex flavors, on the sweeter side than earthy, makes a truly amazing iced latte. Photos:",05/02/2022,"Tea, Pear, Almond"
Fremont,disliked,Drip,It messed up my husband stomach,03/13/2022,"Tea, Pear, Almond"
Skyline Espresso,liked,Espresso Machine,"Good flavor. Good amount of crema. Lots of caffeine, I’m shaking after one espresso",01/29/2026,"Cherry, Shortbread, Vanilla"
Skyline Espresso,liked,Espresso Machine,,04/29/2025,"Cherry, Shortbread, Vanilla"
Skyline Espresso,liked,Espresso Machine,,01/04/2025,"Cherry, Shortbread, Vanilla"
Skyline Espresso,liked,Espresso Machine,,07/14/2024,"Cherry, Shortbread, Vanilla"
Skyline Espresso,disliked,Espresso Machine,,06/15/2024,"Cherry, Shortbread, Vanilla"
Skyline Espresso,liked,Pour Over,Makes a good pour over too.,04/01/2024,"Cherry, Shortbread, Vanilla"
Skyline Espresso,liked,Espresso Machine,,11/03/2022,"Cherry, Shortbread, Vanilla"
Skyline Espresso,disliked,Espresso Machine,Great with milk,10/23/2022,"Cherry, Shortbread, Vanilla"
Skyline Espresso,liked,Espresso Machine,,09/04/2022,"Cherry, Shortbread, Vanilla"
Skyline Espresso,liked,Espresso Machine,,07/04/2022,"Cherry, Shortbread, Vanilla"
Skyline Espresso,liked,Espresso Machine,,05/07/2022,"Cherry, Shortbread, Vanilla"
Skyline Espresso,liked,Espresso Machine,,05/03/2022,"Cherry, Shortbread, Vanilla"
Skyline Espresso,liked,Espresso Machine,was great,04/25/2022,"Cherry, Shortbread, Vanilla"
Skyline Espresso,disliked,Espresso Machine,Decent,03/11/2022,"Cherry, Shortbread, Vanilla"
Skyline Espresso,liked,Espresso Machine,,03/08/2022,"Cherry, Shortbread, Vanilla"
Skyline Espresso,liked,Espresso Machine,Tasty!,03/06/2022,"Cherry, Shortbread, Vanilla"
Skyline Espresso,liked,Espresso Machine,Great flavor,03/05/2022,"Cherry, Shortbread, Vanilla"
Ethiopia - Ardi - Natural,disliked,Drip,"Harsh, bitter with an unpleasant funk. Not a great natural imo.",09/15/2025,"Cocoa, Grape, Apple, Dark Cherry"
Ethiopia - Ardi - Natural,disliked,Pour Over,has an unpleasant bitter finish. i did not get any of the flavor profiles they claimed. i wish i could get my money back.,08/26/2025,"Cocoa, Grape, Apple, Dark Cherry"
Ethiopia - Ardi - Natural,disliked,Pour Over,"know if we just got a bad batch or what, but it was just really harsh and basic tasting. It tasted more like the slightly higher end supermarket coffee you could get off the shelf, rather than high-end, freshly roasted coffee. I may try it again at some point just in case it was just a bad batch, but it really tasted like sort of coffee that used to be made well but then the roaster decided to switch to doing giant batches, ultimately creating an inferior product.",12/10/2024,"Cocoa, Grape, Apple, Dark Cherry"
Ethiopia - Ardi - Natural,liked,Pour Over,Big fan!,08/21/2024,"Cocoa, Grape, Apple, Dark Cherry"
Ethiopia - Ardi - Natural,liked,Pour Over,,07/07/2024,"Cocoa, Grape, Apple, Dark Cherry"
Ethiopia - Ardi - Natural,disliked,Drip,"(I feel bad giving it a dislike). Maybe it's just not a good batch, but it's so understated that I'm not really getting much out of it.",04/22/2024,"Cocoa, Grape, Apple, Dark Cherry"
Ethiopia - Ardi - Natural,liked,French Press,,06/29/2023,"Cocoa, Grape, Apple, Dark Cherry"
Ethiopia - Ardi - Natural,liked,Drip,,04/27/2023,"Cocoa, Grape, Apple, Dark Cherry"
Ethiopia - Ardi - Natural,liked,"Chemex, Aeropress, Clever Dripper","Mmmmm... bright. A bit inconsistent on how good each cup is, but that's probably a me problem.",11/16/2022,"Cocoa, Grape, Apple, Dark Cherry"
Ethiopia - Ardi - Natural,disliked,Superautomatic Espresso Machine,,10/24/2022,"Cocoa, Grape, Apple, Dark Cherry"
Ethiopia - Ardi - Natural,liked,Pour Over,This is a wonderful blend of smooth flavors with no acidity to speak of. This is why I love black coffee.,09/25/2022,"Cocoa, Grape, Apple, Dark Cherry"
Ethiopia - Ardi - Natural,liked,Aeropress,"Good coffee, however, not as much traditional Ethiopian notes as the Revel variety.",09/07/2022,"Cocoa, Grape, Apple, Dark Cherry"
Ethiopia - Ardi - Natural,liked,Aeropress,,07/17/2022,"Cocoa, Grape, Apple, Dark Cherry"
Ethiopia - Ardi - Natural,disliked,Drip,,07/14/2022,"Cocoa, Grape, Apple, Dark Cherry"
Ethiopia - Ardi - Natural,disliked,Pour Over,,07/13/2022,"Cocoa, Grape, Apple, Dark Cherry"
Ethiopia - Ardi - Natural,liked,Drip,"Really sweet smelling, great light roast",07/12/2022,"Cocoa, Grape, Apple, Dark Cherry"
Ethiopia - Ardi - Natural,liked,Drip,,07/10/2022,"Cocoa, Grape, Apple, Dark Cherry"
