name,roaster_no_of_coffees,search_name,cafe_name,cafe_address,cafe_city
Anchorhead Coffee,14,'ANCHORHEAD COFFEE',ANCHORHEAD COFFEE,1600 7TH AVE STE #105,SEATTLE
Blossom Coffee Roasters,41,'Blossom Coffee Roasters',NaN,NaN,NaN
Caffe Vita,24,'CAFFE VITA',CAFFE VITA,4301 FREMONT AVE N ,SEATTLE
Camber Coffee,26,'Camber Coffee',NaN,NaN,NaN
Kuma Coffee Roasters,6,'Kuma Coffee',NaN,NaN,NaN
Ladro Roasting,8,'CAFFE LADRO',CAFFE LADRO,333 108TH AVE NE STE 175,BELLEVUE
Olympia Coffee Roasting Co,27,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE
Olympia Coffee Roasting Co.,16,'OLYMPIA COFFEE',OLYMPIA COFFEE,4824 RAINIER AVE S,SEATTLE
Seven Coffee Roasters,10,'SEVEN COFFEE ROASTERS MARKET & CAFE',SEVEN COFFEE ROASTERS MARKET & CAFE,2007 NE RAVENNA BL,Seattle
Stamp Act Coffee,27,'LITTLE JAYE',LITTLE JAYE,309 S CLOVERDALE ST #A4,SEATTLE
Tony's Coffee,13,'Tony's Coffee',NaN,NaN,NaN
Tonys Coffee,23,'Tonys Coffee',NaN,NaN,NaN
Victrola,3,'VICTROLA COFFEE',VICTROLA COFFEE,3215 BEACON AVE S ,SEATTLE
Victrola Coffee Roasters,10,'VICTROLA COFFEE',VICTROLA COFFEE,3215 BEACON AVE S ,SEATTLE
