roaster,product_name,origin,roast_type,size,price,hearts,total_reviews,heart_percentage,decaf,blend,single_origin,available_ground,tags,url,product_id,has_reviews,price_numeric,size_oz,price_per_oz
Ladro Roasting,Diablo,Unspecified,Dark Roast,12oz,$20.98,446,574,77.7,False,True,False,True,"Dark  Roast, Blend, Available Ground, Featured",/products/diablo,5acc0eb73b2f100014a515eb,True,20.98,12,1.75
Ladro Roasting,Diablo,Unspecified,Dark Roast,80oz,$92.13,446,574,77.7,False,True,False,True,"Dark  Roast, Blend, Available Ground, Featured",/products/diablo,5acc0eb73b2f100014a515eb,True,92.13,80,1.15
Tony's Coffee,Cafe Carmelita,Unspecified,Medium Roast,12oz,$12.32,370,493,75.1,False,True,False,True,"Medium Roast, Blend, Fair Trade, Organic, Available Ground",/products/cafe-carmelita,5a1645393427c60014b0717e,True,12.32,12,1.03
Tony's Coffee,Cafe Carmelita,Unspecified,Medium Roast,24oz,$25.20,370,493,75.1,False,True,False,True,"Medium Roast, Blend, Fair Trade, Organic, Available Ground",/products/cafe-carmelita,5a1645393427c60014b0717e,True,25.2,24,1.05
Tony's Coffee,Cafe Carmelita,Unspecified,Medium Roast,80oz,$63.00,370,493,75.1,False,True,False,True,"Medium Roast, Blend, Fair Trade, Organic, Available Ground",/products/cafe-carmelita,5a1645393427c60014b0717e,True,63.0,80,0.79
Stamp Act Coffee,Milk Money - Seasonal Espresso,Unspecified,Light-Medium Roast,12oz,$15.30,362,470,77.0,False,True,False,False,"Light-Medium Roast, Blend, Espresso",/products/milk-money--seasonal-espresso,5bd298c193311718a8e84d51,True,15.3,12,1.28
Stamp Act Coffee,Milk Money - Seasonal Espresso,Unspecified,Light-Medium Roast,32oz,$41.40,362,470,77.0,False,True,False,False,"Light-Medium Roast, Blend, Espresso",/products/milk-money--seasonal-espresso,5bd298c193311718a8e84d51,True,41.4,32,1.29
Stamp Act Coffee,Milk Money - Seasonal Espresso,Unspecified,Light-Medium Roast,80oz,$99.45,362,470,77.0,False,True,False,False,"Light-Medium Roast, Blend, Espresso",/products/milk-money--seasonal-espresso,5bd298c193311718a8e84d51,True,99.45,80,1.24
Blossom Coffee Roasters,Ethiopia - Ardi - Natural,Ethiopia,Light Roast,32oz,$40.50,315,384,82.0,False,False,True,True,"Light Roast, Ethiopia, Available Ground, Single Origin",/products/ethiopia--ardi--natural,5f1fcea49628d40004718e75,True,40.5,32,1.27
Blossom Coffee Roasters,Ethiopia - Ardi - Natural,Ethiopia,Light Roast,80oz,$94.50,315,384,82.0,False,False,True,True,"Light Roast, Ethiopia, Available Ground, Single Origin",/products/ethiopia--ardi--natural,5f1fcea49628d40004718e75,True,94.5,80,1.18
